River,Location name,UK National Grid Reference,Latitude,Longitude,Receiver No.,From,Until,Logger No.,From,Until
Thames,"Dockett Eddy, Chertsey",TQ 06406 66471,51.387318,-0.472215,4827,2005-04-04T00:00:00Z,2005-10-19T00:00:00Z,1782,2005-04-04T00:00:00Z,2005-10-19T00:00:00Z
Thames,"Hambhaugh Island, Weybridge Lock",TQ 07441 65849,51.381532,-0.457534,4826,2005-04-04T00:00:00Z,,1800,2005-04-04T00:00:00Z,2005-09-03T00:00:00Z
Thames,"Hambhaugh Island, Weybridge Lock",TQ 07441 65849,51.381532,-0.457534,4826,2005-04-04T00:00:00Z,,1782,2005-11-09T00:00:00Z,
Thames,"Gibbs Marina, Shepperton",TQ 08377 66710,51.389093,-0.443828,4834,2005-05-01T00:00:00Z,2005-09-06T00:00:00Z,,,
Thames,"Thames Meadow, u/s of Walton Bridge",TQ 09035 66254,51.384869,-0.434515,4830,2005-04-03T00:00:00Z,2005-10-28T00:00:00Z,1772,2005-04-03T00:00:00Z,2005-10-28T00:00:00Z
Thames,"Felix Lane, Shepperton Marinas",TQ 09692 66807,51.389713,-0.424906,4832,2005-04-03T00:00:00Z,2005-11-13T00:00:00Z,1777,2005-04-03T00:00:00Z,2005-11-13T00:00:00Z
Thames,"Lower Hampton Rd, Sunbury-on-Thames",TQ 12010 69121,51.410059,-0.390877,4828,2005-05-02T00:00:00Z,2005-11-01T00:00:00Z,,,
Thames,Hampton Ferry Boat House,TQ 14010 69444,51.412564,-0.362029,4835,2005-04-03T00:00:00Z,,1778,2005-04-03T00:00:00Z,
Thames,"Alexandra Rd, u/s of Thames Ditton Island",TQ 16026 67713,51.396597,-0.333619,4831,2005-04-06T00:00:00Z,2005-05-26T00:00:00Z,1792,2005-04-06T00:00:00Z,2005-05-26T00:00:00Z
Thames,Ferry Rd Thames Ditton,TQ 16568 67149,51.391417,-0.326017,4833,2005-04-13T00:00:00Z,2005-09-02T00:00:00Z,1787,2005-04-13T00:00:00Z,2005-07-05T00:00:00Z
Thames,Teddington Tamesis sailing club,TQ 17785 70716,51.423225,-0.307351,4829,2005-04-20T00:00:00Z,2005-09-06T00:00:00Z,1791,2005-04-20T00:00:00Z,2005-09-06T00:00:00Z
Thames,Teddington Tamesis sailing club,TQ 17785 70716,51.423225,-0.307351,5177,2005-10-19T00:00:00Z,,,,
Thames,Teddington Weir,TQ 16811 71461,51.430123,-0.321107,5771,2005-11-10T00:00:00Z,,,,
Thames,"Strawberry Vale, Teddington",TQ 16259 72004,51.435116,-0.328866,4824,2005-04-06T00:00:00Z,,1793,2005-04-06T00:00:00Z,
Thames,Twickenham Ferry,TQ 17235 73352,51.447031,-0.314385,4832,2005-11-13T00:00:00Z,,1777,2005-11-13T00:00:00Z,
Thames,"Buccleuch Passage, Richmond Bridge",TQ 17705 74591,51.458069,-0.307213,4831,2005-05-26T00:00:00Z,,1792,2005-05-26T00:00:00Z,
Thames,"Thames Path, Kew Bridge",TQ 19054 77810,51.486718,-0.286723,4825,2005-04-21T00:00:00Z,,1788,2005-04-21T00:00:00Z,
Thames,"Chiswick Pier, Corney Reach Way",TQ 21558 77377,51.482294,-0.250826,5176,2005-07-04T00:00:00Z,,1787,2005-07-05T00:00:00Z,
Thames,"Hurlingham Harbour, Putney Bridge",TQ 25308 75509,51.464689,-0.197512,4833,2005-09-03T00:00:00Z,,1800,2005-09-03T00:00:00Z,
Thames,"Cherry Garden Pier, Tower Bridge",TQ 34591 79801,51.501129,-0.062323,4834,2005-11-08T00:00:00Z,,1772,2005-11-08T00:00:00Z,
Thames,Trinity Buoy Wharf,TQ 39431 80599,51.507128,0.007678,5774,2005-09-23T00:00:00Z,,,,
Thames,"North Greenwich Pier, Millenium Dome",TQ 39528 80092,51.502548,0.008874,5175,2005-09-01T00:00:00Z,,1773,2005-09-01T00:00:00Z,
Thames,"Riverside, New Charlton, Thames Barrier",TQ 40787 79223,51.494427,0.026655,5177,2005-08-31T00:00:00Z,2005-10-19T00:00:00Z,1795,2005-08-31T00:00:00Z,2005-10-19T00:00:00Z
Lee,"Refuges, Government Row/Smeaton Rd",TQ 37179 98697,51.670306,-0.017684,4830,2005-10-28T00:00:00Z,2005-11-02T00:00:00Z,1772,2005-10-28T00:00:00Z,2005-11-02T00:00:00Z
Lee,"South Island Marina, d/s of Ponders Lock",TQ 36363 95389,51.640779,-0.030765,4829,2005-11-04T00:00:00Z,,1791,2005-11-04T00:00:00Z,
Lee,"Alfie's Lock, Pickets Lock Lane, Edmonton",TQ 36293 93729,51.62588,-0.032422,4829,2005-09-06T00:00:00Z,2005-11-04T00:00:00Z,1791,2005-09-06T00:00:00Z,2005-11-04T00:00:00Z
Lee,"Forty Hall Estate, Lee Park Way, Edmonton",TQ 36168 93412,51.623061,-0.03435,4834,2005-09-06T00:00:00Z,2005-11-07T00:00:00Z,,,
Lee,"Timber Yard Ash Wharf, Edmonton",TQ 35856 92432,51.61433,-0.039233,5771,2005-10-14T00:00:00Z,2005-11-10T00:00:00Z,,,
Lee,"Stonebridge Lock, Tottenham",TQ 35112 90444,51.596645,-0.050738,5773,2005-10-14T00:00:00Z,,,,
