Acoustic transmitter,Period,Number stations,Days detected,Days at liberty,Number downstream journeys,Average distance travelled downstream (m),Average speed downstream (m/min),Number upstream journeys,Average distance travelled upstream (m),Average speed upstream (m/min)
1,2005-03,2,2,30,0,,,1,8197.87578382988,0.498917764786341
1,2005-04,4,4,30,6,1974.30306193005,23.8923651801904,3,1215.98086258347,16.4478542467848
1,2005-05,2,12,30,9,2144.12647170004,54.2227827532305,9,2144.12647170004,50.7759020817618
1,2005-06,2,15,30,10,2144.12647170004,32.1915968915211,11,2144.12647170004,28.2281517919039
1,2005-07,2,2,31,1,4799.6949166286,0.278507698613965,0,,
2,2005-04,3,14,30,13,1308.03203009922,31.1137341962177,14,1335.64738035395,16.7270961681306
2,2005-05,3,9,31,5,1562.1090843124,22.3775821154967,5,1466.38676688706,17.6089014458627
2,2005-06,3,12,30,8,1634.82048527457,23.0156447715276,8,1694.64693366541,30.1874079528732
2,2005-10,2,2,31,1,1694.64693366541,8.66162501234559,1,1694.64693366541,27.4881903270951
3,2005-05,3,7,31,3,10468.2691639051,6.73395957300794,3,12837.8591709826,15.1880848538481
3,2005-06,2,4,30,2,7108.77002123258,19.0837069624535,2,7108.77002123258,18.3828136197484
4,2005-06,3,5,30,2,11405.5868835451,76.0136341423552,2,11405.5868835451,28.2768752112974
4,2005-07,4,12,31,6,10493.0267922751,30.1616955821258,6,9060.75450483761,39.8797667745623
4,2005-08,4,8,31,4,5055.50981587507,22.5423574137182,4,7203.91824703135,10.423078195459
5,2005-06,2,4,30,1,7108.77002123258,43.7014550485609,2,7108.77002123258,22.0777848563057
5,2005-07,2,6,31,2,7108.77002123258,23.8166972790459,2,7108.77002123258,42.5430450590863
5,2005-08,2,2,31,1,7108.77002123258,38.9877697691001,1,7108.77002123258,42.0305677250645
5,2005-09,2,1,30,1,7108.77002123258,28.1405424077294,0,,
26,2005-05,2,2,31,1,8593.63372462511,2.7873655206802,0,,
26,2005-08,3,5,31,3,7108.77002123258,32.922592555969,4,9257.17845238885,22.2604740876647
26,2005-09,2,4,30,2,7108.77002123258,10.0820191340611,1,7108.77002123258,21.4205605300299
27,2005-06,3,9,30,6,11405.5868835451,35.3172083833967,6,11405.5868835451,72.8504949547654
27,2005-07,4,16,31,12,8572.75838393635,26.925887475192,11,9352.10005520329,29.8890859583208
27,2005-08,4,16,31,9,7759.43151576759,31.3027107226658,10,7694.36536631409,25.7985410594349
27,2005-09,2,4,30,2,7108.77002123258,13.6089793864802,1,7108.77002123258,13.6886999349772
46,2005-04,3,21,30,25,1407.44729101624,19.424230613931,25,1407.44729101624,18.214432373691
46,2005-05,4,17,30,17,1374.10014109898,16.8200921042217,20,1317.25595957668,16.0039893851326
46,2005-06,6,13,30,13,1849.83753500119,28.9577915320926,10,1865.68278896507,16.4320283275438
46,2005-07,2,2,31,2,2144.12647170004,7.48338172887807,1,2144.12647170004,46.8149884650664
46,2005-11,2,2,30,1,7730.94394463248,1.98305603299538,0,,
47,2005-06,2,4,30,1,7108.77002123258,4.68365270925752,2,7108.77002123258,3.97991590065058
47,2005-07,2,8,31,4,7108.77002123258,29.3370519709988,3,7108.77002123258,26.6769570475061
47,2005-08,2,2,31,1,7108.77002123258,10.4996233974338,1,7108.77002123258,14.3110388294845
48,2005-06,2,4,30,2,7108.77002123258,32.3550293641733,2,7108.77002123258,28.905006739973
48,2005-07,2,19,31,7,7108.77002123258,32.6499120639517,7,7108.77002123258,23.9144507467299
48,2005-08,2,11,31,4,7108.77002123258,32.107372734139,4,7108.77002123258,24.3762168983119
49,2005-07,2,3,31,2,7108.77002123258,51.4452302059404,2,7108.77002123258,14.6241904567387
