Acoustic transmitter,Movement number,Station,Tidal,Arrival,Departure,Time spent
1,1,Hampton Ferry Boat House,0,2005-02-14T14:36:34Z,2005-03-24T13:28:43Z,37.9528819444444
1,2,"Hambhaugh Island, Weybridge Lock",0,2005-04-04T23:20:02Z,2005-04-05T00:26:37Z,0.0462384259259259
1,3,"Thames Meadow, u/s of Walton Bridge",0,2005-04-05T03:03:44Z,2005-04-05T05:45:05Z,0.112048611111111
1,4,"Felix Lane, Shepperton Marinas",0,2005-04-05T06:28:28Z,2005-04-05T21:08:59Z,0.611469907407407
1,5,"Thames Meadow, u/s of Walton Bridge",0,2005-04-07T01:25:12Z,2005-04-07T09:33:45Z,0.339270833333333
1,6,"Felix Lane, Shepperton Marinas",0,2005-04-07T10:00:58Z,2005-04-07T14:34:35Z,0.190011574074074
1,7,"Thames Meadow, u/s of Walton Bridge",0,2005-04-07T15:04:07Z,2005-04-07T15:23:47Z,0.0136574074074074
1,8,"Hambhaugh Island, Weybridge Lock",0,2005-04-07T17:11:44Z,2005-04-19T07:34:24Z,11.5990740740741
1,9,"Thames Meadow, u/s of Walton Bridge",0,2005-04-19T08:39:05Z,2005-04-19T09:01:28Z,0.0155439814814815
1,10,"Felix Lane, Shepperton Marinas",0,2005-04-19T09:23:14Z,2005-04-19T11:56:09Z,0.10619212962963
1,11,Hampton Ferry Boat House,0,2005-04-20T17:36:39Z,2005-05-03T19:26:57Z,13.0765972222222
1,12,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-03T19:59:12Z,2005-05-04T03:23:07Z,0.308275462962963
1,13,Hampton Ferry Boat House,0,2005-05-04T04:13:16Z,2005-05-06T14:42:30Z,2.43696759259259
1,14,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-06T15:27:19Z,2005-05-06T17:33:56Z,0.0879282407407407
1,15,Hampton Ferry Boat House,0,2005-05-06T17:55:19Z,2005-05-06T18:39:25Z,0.030625
1,16,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-06T19:12:02Z,2005-05-12T07:52:40Z,5.52821759259259
1,17,Hampton Ferry Boat House,0,2005-05-12T08:07:40Z,2005-05-17T05:34:48Z,4.89384259259259
1,18,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-17T06:03:33Z,2005-05-25T06:05:54Z,8.00163194444444
1,19,Hampton Ferry Boat House,0,2005-05-25T06:59:39Z,2005-05-25T08:47:06Z,0.0746180555555556
1,20,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-25T09:32:28Z,2005-05-26T00:59:49Z,0.643993055555556
1,21,Hampton Ferry Boat House,0,2005-05-26T01:46:56Z,2005-05-26T05:06:03Z,0.138275462962963
1,22,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-26T06:04:27Z,2005-05-26T06:55:11Z,0.0352314814814815
1,23,Hampton Ferry Boat House,0,2005-05-26T08:00:30Z,2005-05-26T23:02:41Z,0.626516203703704
1,24,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-27T00:30:53Z,2005-05-29T21:23:49Z,2.87009259259259
1,25,Hampton Ferry Boat House,0,2005-05-29T22:25:02Z,2005-05-29T22:25:02Z,0
1,26,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-29T23:02:04Z,2005-05-29T23:40:17Z,0.0265393518518519
1,27,Hampton Ferry Boat House,0,2005-05-30T01:13:16Z,2005-05-30T05:15:32Z,0.168240740740741
1,28,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-05-30T06:14:50Z,2005-05-31T22:56:51Z,1.69584490740741
1,29,Hampton Ferry Boat House,0,2005-06-01T00:20:11Z,2005-06-01T04:12:36Z,0.161400462962963
1,30,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-06-01T05:19:03Z,2005-06-01T21:52:04Z,0.689594907407407
1,31,Hampton Ferry Boat House,0,2005-06-01T22:51:15Z,2005-06-01T23:58:36Z,0.0467708333333333
1,32,"Lower Hampton Rd, Sunbury-on-Thames",0,2005-06-02T00:58:21Z,2005-06-03T01:08:25Z,1.00699074074074
